2021-12-03 00:20:56 [pool-2-thread-16] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 421
2021-12-03 00:20:56 [pool-2-thread-16] INFO  by.epam.task5.entitty.Terminal - Truck #21 is being unloaded
2021-12-03 00:20:56 [pool-2-thread-18] INFO  by.epam.task5.entitty.Base - 25 got terminal 10
2021-12-03 00:20:56 [pool-2-thread-18] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 449
2021-12-03 00:20:56 [pool-2-thread-20] INFO  by.epam.task5.entitty.Base - 29 got terminal 7
2021-12-03 00:20:56 [pool-2-thread-18] INFO  by.epam.task5.entitty.Terminal - Truck #25 is being unloaded
2021-12-03 00:20:56 [pool-2-thread-20] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 489
2021-12-03 00:20:56 [pool-2-thread-19] INFO  by.epam.task5.entitty.Base - 26 got terminal 8
2021-12-03 00:20:56 [pool-2-thread-19] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 519
2021-12-03 00:20:56 [pool-2-thread-20] INFO  by.epam.task5.entitty.Terminal - Truck #29 is being unloaded
2021-12-03 00:20:56 [pool-2-thread-19] INFO  by.epam.task5.entitty.Terminal - Truck #26 is being unloaded
2021-12-03 00:20:57 [pool-2-thread-12] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 504
2021-12-03 00:20:57 [pool-2-thread-11] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 469
2021-12-03 00:20:57 [pool-2-thread-15] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 484
2021-12-03 00:20:57 [pool-2-thread-12] INFO  by.epam.task5.entitty.Terminal - Truck #16 is being loaded
2021-12-03 00:20:57 [pool-2-thread-11] INFO  by.epam.task5.entitty.Terminal - Truck #14 is being loaded
2021-12-03 00:20:57 [pool-2-thread-15] INFO  by.epam.task5.entitty.Terminal - Truck #20 is being loaded
2021-12-03 00:20:57 [pool-2-thread-16] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 399
2021-12-03 00:20:57 [pool-2-thread-18] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 439
2021-12-03 00:20:57 [pool-2-thread-17] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 379
2021-12-03 00:20:57 [pool-2-thread-13] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 359
2021-12-03 00:20:57 [pool-2-thread-14] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 419
2021-12-03 00:20:57 [pool-2-thread-17] INFO  by.epam.task5.entitty.Terminal - Truck #23 is being loaded
2021-12-03 00:20:57 [pool-2-thread-18] INFO  by.epam.task5.entitty.Terminal - Truck #25 is being loaded
2021-12-03 00:20:57 [pool-2-thread-14] INFO  by.epam.task5.entitty.Terminal - Truck #19 is being loaded
2021-12-03 00:20:57 [pool-2-thread-16] INFO  by.epam.task5.entitty.Terminal - Truck #21 is being loaded
2021-12-03 00:20:57 [pool-2-thread-13] INFO  by.epam.task5.entitty.Terminal - Truck #17 is being loaded
2021-12-03 00:20:57 [pool-2-thread-20] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 289
2021-12-03 00:20:57 [pool-2-thread-19] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 329
2021-12-03 00:20:57 [pool-2-thread-19] INFO  by.epam.task5.entitty.Terminal - Truck #26 is being loaded
2021-12-03 00:20:57 [pool-2-thread-20] INFO  by.epam.task5.entitty.Terminal - Truck #29 is being loaded
2021-12-03 00:20:57 [pool-2-thread-12] INFO  by.epam.task5.entitty.Base - pool-2-thread-12 released 4
2021-12-03 00:20:57 [pool-2-thread-21] INFO  by.epam.task5.entitty.Base - 30 got terminal 4
2021-12-03 00:20:57 [pool-2-thread-21] INFO  by.epam.task5.entitty.Base - The current size of warehouse is 319
2021-12-03 00:20:57 [pool-2-thread-21] INFO  by.epam.task5.entitty.Terminal - Truck #30 is being unloaded
2021-12-03 00:20:57 [pool-2-thread-15] INFO  by.epam.task5.entitty.Base - pool-2-thread-15 released 2
